time_aligned_sec,L_Gyro_Z_aligned,R_Gyro_Z_aligned
1.135,-17.595,-17.595
1.1400000000000001,-17.595,-17.595
1.145,-17.595,-17.595
1.1500000000000001,-17.595,-17.595
1.155,-17.595,-17.595
1.16,-17.595,-17.595
1.165,-17.595,-17.595
1.17,-11.73,-17.595
1.175,-11.73,-17.595
1.18,-11.73,-17.595
1.185,-11.73,-17.595
1.19,-11.73,-17.595
1.195,-11.73,-17.595
1.2,-11.73,-23.46
1.205,-11.73,-23.46
1.21,-11.73,-23.46
1.215,-5.865,-17.595
1.22,-5.865,-23.46
1.225,-5.865,-17.595
1.23,-5.865,-17.595
1.235,-5.865,-17.595
1.24,-0.0,-17.595
1.245,-0.0,-17.595
1.25,-0.0,-17.595
1.2550000000000001,-0.0,-17.595
1.26,5.865,-11.73
1.2650000000000001,5.865,-11.73
1.27,11.73,-11.73
1.2750000000000001,11.73,-11.73
1.28,17.595,-11.73
1.285,23.46,-11.73
1.29,23.46,-11.73
1.295,29.326,-11.73
1.3,35.191,-11.73
1.305,35.191,-5.865
1.31,41.056,-5.865
1.315,41.056,-5.865
1.32,46.921,-5.865
1.325,52.786,0.0
1.33,52.786,0.0
1.335,52.786,0.0
1.34,58.651,0.0
1.345,64.516,0.0
1.35,70.381,5.865
1.355,70.381,5.865
1.36,76.246,11.73
1.365,82.111,11.73
1.37,93.842,17.595
1.375,99.707,17.595
1.3800000000000001,105.572,23.46
1.385,117.302,29.326
1.3900000000000001,123.167,29.326
1.395,123.167,35.191
1.4000000000000001,123.167,41.056
1.405,117.302,41.056
1.41,117.302,46.921
1.415,105.572,52.786
1.42,93.842,52.786
1.425,87.977,52.786
1.43,58.651,58.651
1.435,5.865,64.516
1.44,-35.191,70.381
1.445,-52.786,70.381
1.45,-46.921,76.246
1.455,-17.595,87.977
1.46,-0.0,93.842
1.465,11.73,99.707
1.47,17.595,105.572
1.475,23.46,117.302
1.48,23.46,123.167
1.485,23.46,123.167
1.49,17.595,123.167
1.495,11.73,123.167
1.5,11.73,117.302
1.5050000000000001,5.865,111.437
1.51,5.865,93.842
1.5150000000000001,5.865,93.842
1.52,5.865,70.381
1.5250000000000001,11.73,23.46
1.53,5.865,-29.326
1.5350000000000001,5.865,-52.786
1.54,-0.0,-52.786
1.545,-0.0,-29.326
1.55,-5.865,0.0
1.555,-5.865,11.73
1.56,-11.73,17.595
1.565,-11.73,23.46
1.57,-11.73,29.326
1.575,-11.73,23.46
1.58,-11.73,17.595
1.585,-11.73,17.595
1.59,-5.865,11.73
1.595,-5.865,11.73
1.6,-5.865,5.865
1.605,-0.0,5.865
1.61,-0.0,11.73
1.615,-0.0,11.73
1.62,-0.0,5.865
1.625,-0.0,5.865
1.6300000000000001,-0.0,5.865
1.635,-0.0,0.0
1.6400000000000001,-0.0,-5.865
1.645,-0.0,-5.865
1.6500000000000001,-0.0,-5.865
1.655,-0.0,-5.865
1.6600000000000001,-0.0,-11.73
1.665,-0.0,-11.73
1.67,-0.0,-11.73
1.675,-0.0,-11.73
1.68,-5.865,-5.865
1.685,-5.865,-5.865
1.69,-5.865,0.0
1.695,-5.865,0.0
1.7,-5.865,0.0
1.705,-5.865,0.0
1.71,-5.865,0.0
1.715,-5.865,0.0
1.72,-5.865,0.0
1.725,-5.865,0.0
1.73,-5.865,0.0
1.735,-5.865,0.0
1.74,-5.865,0.0
1.745,-5.865,0.0
1.75,-5.865,0.0
1.7550000000000001,-5.865,0.0
1.76,-5.865,0.0
1.7650000000000001,-5.865,0.0
1.77,-5.865,-5.865
1.7750000000000001,-11.73,-5.865
1.78,-11.73,0.0
1.7850000000000001,-11.73,-5.865
1.79,-11.73,-5.865
1.795,-17.595,-5.865
1.8,-17.595,-5.865
1.805,-17.595,-5.865
1.81,-17.595,-5.865
1.815,-17.595,-5.865
1.82,-17.595,-5.865
1.825,-17.595,-5.865
1.83,-17.595,-5.865
1.835,-17.595,-5.865
1.84,-17.595,0.0
1.845,-17.595,0.0
1.85,-17.595,-5.865
1.855,-17.595,-5.865
1.86,-17.595,-5.865
1.865,-17.595,-5.865
1.87,-17.595,-11.73
1.875,-23.46,-11.73
1.8800000000000001,-23.46,-11.73
1.885,-23.46,-17.595
1.8900000000000001,-23.46,-17.595
1.895,-23.46,-17.595
1.9000000000000001,-23.46,-17.595
1.905,-23.46,-17.595
1.9100000000000001,-23.46,-17.595
1.915,-29.326,-17.595
1.92,-29.326,-17.595
1.925,-29.326,-17.595
1.93,-29.326,-17.595
1.935,-29.326,-17.595
1.94,-29.326,-17.595
1.945,-23.46,-17.595
1.95,-29.326,-17.595
1.955,-29.326,-17.595
1.96,-23.46,-17.595
1.965,-29.326,-23.46
1.97,-29.326,-23.46
1.975,-29.326,-23.46
1.98,-29.326,-23.46
1.985,-29.326,-29.326
1.99,-29.326,-29.326
1.995,-29.326,-29.326
2.0,-29.326,-29.326
2.005,-29.326,-29.326
2.0100000000000002,-29.326,-29.326
2.015,-29.326,-29.326
2.02,-29.326,-29.326
2.025,-29.326,-29.326
2.0300000000000002,-29.326,-29.326
2.035,-23.46,-29.326
2.04,-29.326,-29.326
2.045,-29.326,-29.326
2.05,-29.326,-29.326
2.055,-29.326,-29.326
2.06,-29.326,-29.326
2.065,-23.46,-29.326
2.07,-23.46,-29.326
2.075,-23.46,-29.326
2.08,-23.46,-29.326
